w_id,file_name,line_no,word_no,word,pos_contributor_1,pos_contributor_2,pos_contributor_3,fpos,fner
4,File-01,2,1,শুক্রবার,NN,Unk,NN,NN,TIME
5,File-01,2,2,রাতে,NN,NN,NN,NN,TIME
6,File-01,2,3,সামাজিক,JJ,JJ,JJ,JJ,O
7,File-01,2,4,যোগাযোগমাধ্যম,NN,Unk,NN,NN,O
8,File-01,2,5,ফেসবুকে,NN,Unk,Unk,NN,ORG
9,File-01,2,6,নিলয়,NN,Unk,NN,NN,PER
10,File-01,2,7,লেখেন,VM,Unk,VM,VM,O
11,File-01,2,8,",",PU,SYM,PU,PU,O
12,File-01,2,9,আমার,PRP,PRP,PRP,PRP,O
13,File-01,2,10,কোভিড,NN,Unk,NN,NN,O
14,File-01,2,11,-,PU,SYM,SYM,PU,O
15,File-01,2,12,19,CD,Unk,CD,CD,O
16,File-01,2,13,টেস্ট,NN,Unk,NN,NN,O
17,File-01,2,14,রিপোর্ট,NN,Unk,Unk,NN,O
18,File-01,2,15,পজিটিভ,JJ,Unk,JJ,JJ,O
19,File-01,2,16,।,PU,Unk,PU,PU,O
20,File-01,3,1,নিলয়,NN,Unk,NN,NN,PER
21,File-01,3,2,করোনায়,NN,Unk,NN,NN,O
22,File-01,3,3,আক্রান্তের,JJ,Unk,Unk,JJ,O
23,File-01,3,4,খবর,NN,NN,NN,NN,O
24,File-01,3,5,জানানোর,VM,Unk,VM,VM,O
25,File-01,3,6,পর,PU,NST,NST,PU,O
26,File-01,3,7,কমেন্ট,NN,Unk,NN,NN,O
27,File-01,3,8,বক্সে,NN,Unk,Unk,NN,O
28,File-01,3,9,নিলয়ের,NN,Unk,NN,NN,PER
29,File-01,3,10,দ্রুত,JJ,Unk,Unk,JJ,O
30,File-01,3,11,সুস্থতা,NN,Unk,NN,NN,O
31,File-01,3,12,কামনা,NN,Unk,Unk,NN,O
32,File-01,3,13,করেছেন,VM,VM,VM,VM,O
33,File-01,3,14,অনুরাগীরা,NN,Unk,NN,NN,O
34,File-01,3,15,।,PU,Unk,Unk,PU,O
35,File-01,4,1,2009,CD,Unk,Unk,CD,O
36,File-01,4,2,সালে,NN,NNP,NN,NN,TIME
37,File-01,4,3,ফেয়ার,NN,Unk,NN,NN,O
38,File-01,4,4,অ্যান্ড,CC,Unk,CC,CC,O
39,File-01,4,5,লাভলী,NN,Unk,Unk,NN,O
40,File-01,4,6,সুপার,JJ,Unk,Unk,JJ,O
41,File-01,4,7,হিরো,NN,Unk,NN,NN,O
42,File-01,4,8,সুপার,JJ,Unk,JJ,JJ,O
43,File-01,4,9,হিরোইন,NN,Unk,NN,NN,O
